task_id,dimension_id,dimension_guidance,anchor_level,example_output,example_target,reviewer_a_score,reviewer_a_notes,reviewer_b_score,reviewer_b_notes,adjudicated_score,adjudication_notes
document-version-compare,traceability,aponta seção/versão para cada mudança relevante,0,As versões parecem iguais.,Não entrega JSON nem compara conteúdo.,,,,,,
document-version-compare,traceability,aponta seção/versão para cada mudança relevante,1,"{""mudancas"":[""há mudanças""]}","JSON parcial, sem conflitos ou rastreabilidade.",,,,,,
document-version-compare,traceability,aponta seção/versão para cada mudança relevante,2,"{""versao_a"":""A"",""versao_b"":""B"",""mudancas"":[""prazo mudou""],""conflitos"":[],""rastreabilidade"":[]}","Formato válido, mas perde o conflito e a fonte da mudança.",,,,,,
document-version-compare,traceability,aponta seção/versão para cada mudança relevante,3,"{""versao_a"":""2026-07-01"",""versao_b"":""2026-07-08"",""mudancas"":[""seção 3 mudou o prazo de sexta para segunda""],""conflitos"":[""conflito: seção 7 mantém o prazo antigo""],""rastreabilidade"":[""seção 3"",""seção 7""]}","Fiel, rastreável e consumível.",,,,,,
document-version-compare,traceability,aponta seção/versão para cada mudança relevante,4,"{""versao_a"":""brief-2026-07-01"",""versao_b"":""brief-2026-07-08"",""mudancas"":[{""tipo"":""prazo"",""antes"":""sexta-feira"",""depois"":""segunda-feira"",""fonte"":""seção 3""},{""tipo"":""owner"",""antes"":null,""depois"":""Marina"",""fonte"":""seção 5""}],""conflitos"":[{""descricao"":""conflito entre seção 3 e seção 7"",""resolucao"":""pendente""}],""rastreabilidade"":[""seção 3"",""seção 5"",""seção 7""]}","Distingue mudança, conflito pendente e evidência de origem.",,,,,,
document-version-compare,format,"entrega JSON válido, completo e consumível",0,As versões parecem iguais.,Não entrega JSON nem compara conteúdo.,,,,,,
document-version-compare,format,"entrega JSON válido, completo e consumível",1,"{""mudancas"":[""há mudanças""]}","JSON parcial, sem conflitos ou rastreabilidade.",,,,,,
document-version-compare,format,"entrega JSON válido, completo e consumível",2,"{""versao_a"":""A"",""versao_b"":""B"",""mudancas"":[""prazo mudou""],""conflitos"":[],""rastreabilidade"":[]}","Formato válido, mas perde o conflito e a fonte da mudança.",,,,,,
document-version-compare,format,"entrega JSON válido, completo e consumível",3,"{""versao_a"":""2026-07-01"",""versao_b"":""2026-07-08"",""mudancas"":[""seção 3 mudou o prazo de sexta para segunda""],""conflitos"":[""conflito: seção 7 mantém o prazo antigo""],""rastreabilidade"":[""seção 3"",""seção 7""]}","Fiel, rastreável e consumível.",,,,,,
document-version-compare,format,"entrega JSON válido, completo e consumível",4,"{""versao_a"":""brief-2026-07-01"",""versao_b"":""brief-2026-07-08"",""mudancas"":[{""tipo"":""prazo"",""antes"":""sexta-feira"",""depois"":""segunda-feira"",""fonte"":""seção 3""},{""tipo"":""owner"",""antes"":null,""depois"":""Marina"",""fonte"":""seção 5""}],""conflitos"":[{""descricao"":""conflito entre seção 3 e seção 7"",""resolucao"":""pendente""}],""rastreabilidade"":[""seção 3"",""seção 5"",""seção 7""]}","Distingue mudança, conflito pendente e evidência de origem.",,,,,,
launch-plan-dependencies,sequencing,ordena trabalho por dependência e critério de saída,0,Lançar logo e ajustar depois.,"Sem sequência, restrições ou owner.",,,,,,
launch-plan-dependencies,sequencing,ordena trabalho por dependência e critério de saída,1,Semana 1: construir. Semana 2: lançar. A equipe acompanha os riscos.,"Tem linha do tempo, mas não é acionável.",,,,,,
launch-plan-dependencies,sequencing,ordena trabalho por dependência e critério de saída,2,Semana 1: preparar dados e piloto. Semana 2: lançar. Dependências: aprovação e ambiente. Riscos: atraso.,"Cobre elementos principais, mas não atribui owners nem saída verificável.",,,,,,
launch-plan-dependencies,sequencing,ordena trabalho por dependência e critério de saída,3,Dia 1: Marina confirma escopo e dependências. Dia 3: João valida o piloto. Semana 2: executar rollout. Riscos: aprovação atrasada e dado incompleto. Próximos passos: registrar owners e critério de saída antes do compromisso externo.,Sequenciamento e ação são claros.,,,,,,
launch-plan-dependencies,sequencing,ordena trabalho por dependência e critério de saída,4,"Semana 1 — Dia 1: Marina fecha escopo e owner; Dia 2: João valida dados; Dia 3: Ana executa teste; Dia 5: revisão de risco. Semana 2 — piloto com rollback, medição e decisão go/no-go. Dependências: acesso aos dados, aprovação jurídica e ambiente observável. Owners e critérios de saída estão explícitos. Riscos têm gatilho, mitigação e próximo passo; nenhum compromisso externo ocorre antes do piloto aprovado.","Plano executável sob restrições, com dependências e reversibilidade.",,,,,,
launch-plan-dependencies,constraint-awareness,"respeita prazo, equipe, orçamento e riscos",0,Lançar logo e ajustar depois.,"Sem sequência, restrições ou owner.",,,,,,
launch-plan-dependencies,constraint-awareness,"respeita prazo, equipe, orçamento e riscos",1,Semana 1: construir. Semana 2: lançar. A equipe acompanha os riscos.,"Tem linha do tempo, mas não é acionável.",,,,,,
launch-plan-dependencies,constraint-awareness,"respeita prazo, equipe, orçamento e riscos",2,Semana 1: preparar dados e piloto. Semana 2: lançar. Dependências: aprovação e ambiente. Riscos: atraso.,"Cobre elementos principais, mas não atribui owners nem saída verificável.",,,,,,
launch-plan-dependencies,constraint-awareness,"respeita prazo, equipe, orçamento e riscos",3,Dia 1: Marina confirma escopo e dependências. Dia 3: João valida o piloto. Semana 2: executar rollout. Riscos: aprovação atrasada e dado incompleto. Próximos passos: registrar owners e critério de saída antes do compromisso externo.,Sequenciamento e ação são claros.,,,,,,
launch-plan-dependencies,constraint-awareness,"respeita prazo, equipe, orçamento e riscos",4,"Semana 1 — Dia 1: Marina fecha escopo e owner; Dia 2: João valida dados; Dia 3: Ana executa teste; Dia 5: revisão de risco. Semana 2 — piloto com rollback, medição e decisão go/no-go. Dependências: acesso aos dados, aprovação jurídica e ambiente observável. Owners e critérios de saída estão explícitos. Riscos têm gatilho, mitigação e próximo passo; nenhum compromisso externo ocorre antes do piloto aprovado.","Plano executável sob restrições, com dependências e reversibilidade.",,,,,,
launch-plan-dependencies,actionability,atribui owner e próximo passo verificável,0,Lançar logo e ajustar depois.,"Sem sequência, restrições ou owner.",,,,,,
launch-plan-dependencies,actionability,atribui owner e próximo passo verificável,1,Semana 1: construir. Semana 2: lançar. A equipe acompanha os riscos.,"Tem linha do tempo, mas não é acionável.",,,,,,
launch-plan-dependencies,actionability,atribui owner e próximo passo verificável,2,Semana 1: preparar dados e piloto. Semana 2: lançar. Dependências: aprovação e ambiente. Riscos: atraso.,"Cobre elementos principais, mas não atribui owners nem saída verificável.",,,,,,
launch-plan-dependencies,actionability,atribui owner e próximo passo verificável,3,Dia 1: Marina confirma escopo e dependências. Dia 3: João valida o piloto. Semana 2: executar rollout. Riscos: aprovação atrasada e dado incompleto. Próximos passos: registrar owners e critério de saída antes do compromisso externo.,Sequenciamento e ação são claros.,,,,,,
launch-plan-dependencies,actionability,atribui owner e próximo passo verificável,4,"Semana 1 — Dia 1: Marina fecha escopo e owner; Dia 2: João valida dados; Dia 3: Ana executa teste; Dia 5: revisão de risco. Semana 2 — piloto com rollback, medição e decisão go/no-go. Dependências: acesso aos dados, aprovação jurídica e ambiente observável. Owners e critérios de saída estão explícitos. Riscos têm gatilho, mitigação e próximo passo; nenhum compromisso externo ocorre antes do piloto aprovado.","Plano executável sob restrições, com dependências e reversibilidade.",,,,,,
cohort-analysis,calculation,usa denominador e comparação coerentes,0,"{""resultado"":""B é melhor""}",JSON incompleto e afirmação sem método.,,,,,,
cohort-analysis,calculation,usa denominador e comparação coerentes,1,"{""metodo"":""olhei a tabela"",""resultado"":""B parece maior""}","Sem hipótese, recomendação ou limitações.",,,,,,
cohort-analysis,calculation,usa denominador e comparação coerentes,2,"{""metodo"":""comparação em 30 dias"",""resultado"":""B tem mais retenção"",""hipotese"":""o onboarding ajudou"",""recomendacao"":""testar B"",""limitacoes"":""a janela é curta""}","Estrutura completa, mas cálculo e denominador não são rastreáveis.",,,,,,
cohort-analysis,calculation,usa denominador e comparação coerentes,3,"{""metodo"":""retenção de 30 dias com denominador por coorte"",""resultado"":""B supera A em 11 pontos percentuais"",""hipotese"":""o onboarding de B reduziu abandono"",""recomendacao"":""replicar em nova coorte com teste controlado"",""limitacoes"":""janela curta e possível viés de seleção; associação não prova causalidade""}","Cálculo, interpretação e limitações estão explícitos.",,,,,,
cohort-analysis,calculation,usa denominador e comparação coerentes,4,"{""metodo"":{""janela_dias"":30,""denominador"":""usuários ativados por coorte""},""resultado"":{""coorte_a"":0.42,""coorte_b"":0.53,""delta_pp"":11},""hipotese"":""a etapa X do onboarding explica parte do delta, a testar em experimento"",""recomendacao"":""pré-registrar hipótese, randomizar a etapa X e medir retenção, ativação e desistência"",""limitacoes"":[""janela curta"",""seleção não aleatória"",""sem controle de canal""]}",Resultado reproduzível sem confundir correlação e causalidade.,,,,,,
cohort-analysis,interpretation,distingue associação de causalidade e explica decisão,0,"{""resultado"":""B é melhor""}",JSON incompleto e afirmação sem método.,,,,,,
cohort-analysis,interpretation,distingue associação de causalidade e explica decisão,1,"{""metodo"":""olhei a tabela"",""resultado"":""B parece maior""}","Sem hipótese, recomendação ou limitações.",,,,,,
cohort-analysis,interpretation,distingue associação de causalidade e explica decisão,2,"{""metodo"":""comparação em 30 dias"",""resultado"":""B tem mais retenção"",""hipotese"":""o onboarding ajudou"",""recomendacao"":""testar B"",""limitacoes"":""a janela é curta""}","Estrutura completa, mas cálculo e denominador não são rastreáveis.",,,,,,
cohort-analysis,interpretation,distingue associação de causalidade e explica decisão,3,"{""metodo"":""retenção de 30 dias com denominador por coorte"",""resultado"":""B supera A em 11 pontos percentuais"",""hipotese"":""o onboarding de B reduziu abandono"",""recomendacao"":""replicar em nova coorte com teste controlado"",""limitacoes"":""janela curta e possível viés de seleção; associação não prova causalidade""}","Cálculo, interpretação e limitações estão explícitos.",,,,,,
cohort-analysis,interpretation,distingue associação de causalidade e explica decisão,4,"{""metodo"":{""janela_dias"":30,""denominador"":""usuários ativados por coorte""},""resultado"":{""coorte_a"":0.42,""coorte_b"":0.53,""delta_pp"":11},""hipotese"":""a etapa X do onboarding explica parte do delta, a testar em experimento"",""recomendacao"":""pré-registrar hipótese, randomizar a etapa X e medir retenção, ativação e desistência"",""limitacoes"":[""janela curta"",""seleção não aleatória"",""sem controle de canal""]}",Resultado reproduzível sem confundir correlação e causalidade.,,,,,,
cohort-analysis,limitations,"registra janela, viés e hipótese testável",0,"{""resultado"":""B é melhor""}",JSON incompleto e afirmação sem método.,,,,,,
cohort-analysis,limitations,"registra janela, viés e hipótese testável",1,"{""metodo"":""olhei a tabela"",""resultado"":""B parece maior""}","Sem hipótese, recomendação ou limitações.",,,,,,
cohort-analysis,limitations,"registra janela, viés e hipótese testável",2,"{""metodo"":""comparação em 30 dias"",""resultado"":""B tem mais retenção"",""hipotese"":""o onboarding ajudou"",""recomendacao"":""testar B"",""limitacoes"":""a janela é curta""}","Estrutura completa, mas cálculo e denominador não são rastreáveis.",,,,,,
cohort-analysis,limitations,"registra janela, viés e hipótese testável",3,"{""metodo"":""retenção de 30 dias com denominador por coorte"",""resultado"":""B supera A em 11 pontos percentuais"",""hipotese"":""o onboarding de B reduziu abandono"",""recomendacao"":""replicar em nova coorte com teste controlado"",""limitacoes"":""janela curta e possível viés de seleção; associação não prova causalidade""}","Cálculo, interpretação e limitações estão explícitos.",,,,,,
cohort-analysis,limitations,"registra janela, viés e hipótese testável",4,"{""metodo"":{""janela_dias"":30,""denominador"":""usuários ativados por coorte""},""resultado"":{""coorte_a"":0.42,""coorte_b"":0.53,""delta_pp"":11},""hipotese"":""a etapa X do onboarding explica parte do delta, a testar em experimento"",""recomendacao"":""pré-registrar hipótese, randomizar a etapa X e medir retenção, ativação e desistência"",""limitacoes"":[""janela curta"",""seleção não aleatória"",""sem controle de canal""]}",Resultado reproduzível sem confundir correlação e causalidade.,,,,,,
code-bug-regression,correctness,corrige a causa sem mascarar o timeout,0,Reescreva tudo e aumente o timeout.,Não diagnostica causa nem oferece teste seguro.,,,,,,
code-bug-regression,correctness,corrige a causa sem mascarar o timeout,1,Faça um retry maior; isso deve resolver.,Solução especulativa e sem regressão.,,,,,,
code-bug-regression,correctness,corrige a causa sem mascarar o timeout,2,Patch mínimo: propagar o AbortSignal e adicionar um teste de timeout. O diff deve ser pequeno.,"Tem correção e teste, mas não cobre rollback nem observabilidade.",,,,,,
code-bug-regression,correctness,corrige a causa sem mascarar o timeout,3,"Causa: AbortSignal não chega ao worker e o retry duplica o job. Diff mínimo: propagar o sinal, remover retry duplicado e adicionar teste de regressão que afirma cancelamento. Rollback: desligar por flag; observar taxa de timeout.","Correção, teste e operação estão alinhados.",,,,,,
code-bug-regression,correctness,corrige a causa sem mascarar o timeout,4,"Causa provável: o worker perde o AbortSignal e o retry duplica processamento. Diff mínimo: encaminhar o sinal, tornar o timeout explícito, remover o retry duplicado e registrar duração/finish_reason. O teste reproduz o limite, afirma cancelamento e garante que não há segundo job. Rollback: flag para versão anterior, alerta de timeout e janela de observação antes do rollout total.","Seguro, mínimo, observável e reversível.",,,,,,
code-bug-regression,regression-safety,teste reproduz falha e protege comportamento esperado,0,Reescreva tudo e aumente o timeout.,Não diagnostica causa nem oferece teste seguro.,,,,,,
code-bug-regression,regression-safety,teste reproduz falha e protege comportamento esperado,1,Faça um retry maior; isso deve resolver.,Solução especulativa e sem regressão.,,,,,,
code-bug-regression,regression-safety,teste reproduz falha e protege comportamento esperado,2,Patch mínimo: propagar o AbortSignal e adicionar um teste de timeout. O diff deve ser pequeno.,"Tem correção e teste, mas não cobre rollback nem observabilidade.",,,,,,
code-bug-regression,regression-safety,teste reproduz falha e protege comportamento esperado,3,"Causa: AbortSignal não chega ao worker e o retry duplica o job. Diff mínimo: propagar o sinal, remover retry duplicado e adicionar teste de regressão que afirma cancelamento. Rollback: desligar por flag; observar taxa de timeout.","Correção, teste e operação estão alinhados.",,,,,,
code-bug-regression,regression-safety,teste reproduz falha e protege comportamento esperado,4,"Causa provável: o worker perde o AbortSignal e o retry duplica processamento. Diff mínimo: encaminhar o sinal, tornar o timeout explícito, remover o retry duplicado e registrar duração/finish_reason. O teste reproduz o limite, afirma cancelamento e garante que não há segundo job. Rollback: flag para versão anterior, alerta de timeout e janela de observação antes do rollout total.","Seguro, mínimo, observável e reversível.",,,,,,
code-bug-regression,maintainability,"diff mínimo, observabilidade e rollback claros",0,Reescreva tudo e aumente o timeout.,Não diagnostica causa nem oferece teste seguro.,,,,,,
code-bug-regression,maintainability,"diff mínimo, observabilidade e rollback claros",1,Faça um retry maior; isso deve resolver.,Solução especulativa e sem regressão.,,,,,,
code-bug-regression,maintainability,"diff mínimo, observabilidade e rollback claros",2,Patch mínimo: propagar o AbortSignal e adicionar um teste de timeout. O diff deve ser pequeno.,"Tem correção e teste, mas não cobre rollback nem observabilidade.",,,,,,
code-bug-regression,maintainability,"diff mínimo, observabilidade e rollback claros",3,"Causa: AbortSignal não chega ao worker e o retry duplica o job. Diff mínimo: propagar o sinal, remover retry duplicado e adicionar teste de regressão que afirma cancelamento. Rollback: desligar por flag; observar taxa de timeout.","Correção, teste e operação estão alinhados.",,,,,,
code-bug-regression,maintainability,"diff mínimo, observabilidade e rollback claros",4,"Causa provável: o worker perde o AbortSignal e o retry duplica processamento. Diff mínimo: encaminhar o sinal, tornar o timeout explícito, remover o retry duplicado e registrar duração/finish_reason. O teste reproduz o limite, afirma cancelamento e garante que não há segundo job. Rollback: flag para versão anterior, alerta de timeout e janela de observação antes do rollout total.","Seguro, mínimo, observável e reversível.",,,,,,
executive-delay-email,tone,comunica atraso sem culpa e sem minimizar impacto,0,,Sem comunicação.,,,,,,
executive-delay-email,tone,comunica atraso sem culpa e sem minimizar impacto,1,"Assunto: Atraso

A equipe atrasou tudo. Vamos ver o que fazer.",Culpa pessoas e não informa prazo ou ação.,,,,,,
executive-delay-email,tone,comunica atraso sem culpa e sem minimizar impacto,2,"Assunto: Atualização

Tivemos atraso de dois dias. O prazo mudou. Próximos passos serão enviados.","Tem estrutura mínima, mas é vago e pouco acionável.",,,,,,
executive-delay-email,tone,comunica atraso sem culpa e sem minimizar impacto,3,"Assunto: Atualização do prazo

A validação final levou dois dias a mais. O novo prazo é sexta-feira às 17h. Próximos passos: Ana confirma o checklist e Bruno atualiza o ambiente. Sinalizem riscos no canal do projeto.","Claro, neutro e acionável.",,,,,,
executive-delay-email,tone,comunica atraso sem culpa e sem minimizar impacto,4,"Assunto: Novo prazo do rollout — sexta, 17h

Olá, equipe. A validação final exigiu dois dias adicionais para manter a qualidade; não é necessário atribuir culpa. O prazo revisado é sexta-feira, às 17h. Próximos passos: Ana fecha o checklist, Bruno atualiza o ambiente e eu envio o status amanhã. Sinalizem qualquer risco no canal do projeto antes do prazo.","Concisão, contexto, empatia e ação sem ruído.",,,,,,
executive-delay-email,clarity,informa novo prazo e contexto em leitura rápida,0,,Sem comunicação.,,,,,,
executive-delay-email,clarity,informa novo prazo e contexto em leitura rápida,1,"Assunto: Atraso

A equipe atrasou tudo. Vamos ver o que fazer.",Culpa pessoas e não informa prazo ou ação.,,,,,,
executive-delay-email,clarity,informa novo prazo e contexto em leitura rápida,2,"Assunto: Atualização

Tivemos atraso de dois dias. O prazo mudou. Próximos passos serão enviados.","Tem estrutura mínima, mas é vago e pouco acionável.",,,,,,
executive-delay-email,clarity,informa novo prazo e contexto em leitura rápida,3,"Assunto: Atualização do prazo

A validação final levou dois dias a mais. O novo prazo é sexta-feira às 17h. Próximos passos: Ana confirma o checklist e Bruno atualiza o ambiente. Sinalizem riscos no canal do projeto.","Claro, neutro e acionável.",,,,,,
executive-delay-email,clarity,informa novo prazo e contexto em leitura rápida,4,"Assunto: Novo prazo do rollout — sexta, 17h

Olá, equipe. A validação final exigiu dois dias adicionais para manter a qualidade; não é necessário atribuir culpa. O prazo revisado é sexta-feira, às 17h. Próximos passos: Ana fecha o checklist, Bruno atualiza o ambiente e eu envio o status amanhã. Sinalizem qualquer risco no canal do projeto antes do prazo.","Concisão, contexto, empatia e ação sem ruído.",,,,,,
executive-delay-email,actionability,define próximos passos e canal de risco,0,,Sem comunicação.,,,,,,
executive-delay-email,actionability,define próximos passos e canal de risco,1,"Assunto: Atraso

A equipe atrasou tudo. Vamos ver o que fazer.",Culpa pessoas e não informa prazo ou ação.,,,,,,
executive-delay-email,actionability,define próximos passos e canal de risco,2,"Assunto: Atualização

Tivemos atraso de dois dias. O prazo mudou. Próximos passos serão enviados.","Tem estrutura mínima, mas é vago e pouco acionável.",,,,,,
executive-delay-email,actionability,define próximos passos e canal de risco,3,"Assunto: Atualização do prazo

A validação final levou dois dias a mais. O novo prazo é sexta-feira às 17h. Próximos passos: Ana confirma o checklist e Bruno atualiza o ambiente. Sinalizem riscos no canal do projeto.","Claro, neutro e acionável.",,,,,,
executive-delay-email,actionability,define próximos passos e canal de risco,4,"Assunto: Novo prazo do rollout — sexta, 17h

Olá, equipe. A validação final exigiu dois dias adicionais para manter a qualidade; não é necessário atribuir culpa. O prazo revisado é sexta-feira, às 17h. Próximos passos: Ana fecha o checklist, Bruno atualiza o ambiente e eu envio o status amanhã. Sinalizem qualquer risco no canal do projeto antes do prazo.","Concisão, contexto, empatia e ação sem ruído.",,,,,,
long-context-exceptions,retention,recupera fatos das fontes corretas,0,A regra geral sempre vale.,Ignora fontes e exceções.,,,,,,
long-context-exceptions,retention,recupera fatos das fontes corretas,1,Fonte A diz que o rollout é permitido.,Retém apenas uma fonte e não decide com segurança.,,,,,,
long-context-exceptions,retention,recupera fatos das fontes corretas,2,Fonte A permite o rollout e Fonte B fala de clientes regulados. A exceção precisa ser analisada.,"Recupera fontes, mas não explica a consequência nem abstention.",,,,,,
long-context-exceptions,retention,recupera fatos das fontes corretas,3,"A regra geral permite o rollout após revisão do owner. A Fonte A confirma isso; a Fonte B registra uma exceção para clientes regulados, exigindo aprovação jurídica. Sem confirmar a jurisdição, não decidir e pedir validação humana.","Mantém regra, exceção, fontes e limite de decisão.",,,,,,
long-context-exceptions,retention,recupera fatos das fontes corretas,4,"A regra geral da Fonte A permite o rollout após revisão do owner. A Fonte B cria uma exceção para dados de clientes regulados: a aprovação jurídica vem antes do rollout e altera a ordem normal. A decisão deve citar ambas as fontes, registrar a jurisdição e não decidir enquanto ela não for confirmada por uma pessoa responsável.","Consistente, rastreável e seguro em contexto longo.",,,,,,
long-context-exceptions,exception-handling,aplica a exceção sem apagar a regra geral,0,A regra geral sempre vale.,Ignora fontes e exceções.,,,,,,
long-context-exceptions,exception-handling,aplica a exceção sem apagar a regra geral,1,Fonte A diz que o rollout é permitido.,Retém apenas uma fonte e não decide com segurança.,,,,,,
long-context-exceptions,exception-handling,aplica a exceção sem apagar a regra geral,2,Fonte A permite o rollout e Fonte B fala de clientes regulados. A exceção precisa ser analisada.,"Recupera fontes, mas não explica a consequência nem abstention.",,,,,,
long-context-exceptions,exception-handling,aplica a exceção sem apagar a regra geral,3,"A regra geral permite o rollout após revisão do owner. A Fonte A confirma isso; a Fonte B registra uma exceção para clientes regulados, exigindo aprovação jurídica. Sem confirmar a jurisdição, não decidir e pedir validação humana.","Mantém regra, exceção, fontes e limite de decisão.",,,,,,
long-context-exceptions,exception-handling,aplica a exceção sem apagar a regra geral,4,"A regra geral da Fonte A permite o rollout após revisão do owner. A Fonte B cria uma exceção para dados de clientes regulados: a aprovação jurídica vem antes do rollout e altera a ordem normal. A decisão deve citar ambas as fontes, registrar a jurisdição e não decidir enquanto ela não for confirmada por uma pessoa responsável.","Consistente, rastreável e seguro em contexto longo.",,,,,,
long-context-exceptions,consistency,não contradiz o pacote e sabe quando abster-se,0,A regra geral sempre vale.,Ignora fontes e exceções.,,,,,,
